updateon,symbol,isinCode,identifier,listingDate,issuedSize,lastPrice,TodayChangeValue,TodayPercentageChange,previousClose,close,vwap,open,minintraday,maxintraday,valueintraday,52WeekMin,52WeekMinDate,52WeekMax,52WeekMaxDate,valueweek,upperCP,lowerCP,basePrice,iNavValue,checkINAV,tickSize,priceBand,ppriceBand,totalTradedVolume_lks,totalTradedValue_cr,totalMarketCap_cr,freefloatmktcap_cr,impactCost,faceValue,cmDailyVolatility,cmAnnualVolatility,marketLot,securityVar,indexVar,varMargin,extremeLossMargin,adhocMargin,applicableMargin,volume,deliveryQuantity,deliveryToTradedQuantity_Percentage,FarFrom52WeekHigh,FarFrom52WeekLow,RangePositionTrend,DayPerformance,IntradayRangePercent,RangeTrendLabel,TrendImplication
17-07-2026,MOM30IETF,INF109KC17C7,MOM30IETFEQN,10-Aug-2022,200560731,30.79,-0.24,-0.77,31.03,30.71,30.69,31.04,30.59,31.15,30.69,26.0,20-Feb-2026 00:00:00,32.9,01-Dec-2025 00:00:00,0.0,0.0,0.0,0.0,30.7,True,0.01,24.57-36.85,20,216.1639,66.3407,617.5265,6175264907.49,0.06,10.0,1.21,23.12,0,7.52,0.0,7.52,2.0,0.0,9.52,21616393,18949334,87.66,6.41337386018237,18.42307692307692,69.42028985507247,-0.7734450531743537,1.8306636155606366,Uncertain,Range-bound/Unclear
17-07-2026,MON100,INF247L01AP3,MON100EQN,31-Mar-2011,504134740,332.9,-0.71,-0.21,333.61,332.9,332.82,330.27,330.27,332.9,332.82,191.12,17-Jul-2025 00:00:00,342.55,05-Jun-2026 00:00:00,0.0,0.0,0.0,0.0,273.13,True,0.01,266.32-399.48,20,4.4448,14.7932,16782.6455,167826454946.0,0.03,1.0,1.44,27.51,0,9.05,0.0,9.05,2.0,0.0,11.05,444480,409687,92.17,2.8171069916800566,74.18375889493511,93.62741860925838,-0.21282335661402127,0.796318163926483,Near High,Strong Uptrend
17-07-2026,MONIFTY500,INF247L01BU1,MONIFTY500EQN,06-Oct-2023,126300000,23.74,-0.05,-0.21,23.79,23.82,23.76,23.68,23.68,23.91,23.76,20.75,30-Mar-2026 00:00:00,28.28,13-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,23.82,True,0.01,19.06-28.58,20,10.4995,2.4947,299.8362,2998362000.0,0.12,10.0,0.91,17.39,0,5.58,0.0,6.0,2.0,0.0,8.0,1049948,866509,82.53,16.05374823196606,14.40963855421686,39.70783532536518,-0.2101723413198853,0.9712837837837857,Uncertain,Range-bound/Unclear
17-07-2026,MOREALTY,INF247L01CI4,MOREALTYEQN,21-Mar-2024,28800000,91.55,0.96,1.06,90.59,91.6,91.2,90.85,89.96,91.97,91.2,64.0,02-Apr-2026 00:00:00,100.55,22-Jul-2025 00:00:00,0.0,0.0,0.0,0.0,91.46,True,0.01,73.28-109.92,20,7.5297,6.8671,263.664,2636640000.0,0.08,10.0,1.7,32.48,0,10.71,0.0,10.71,3.5,0.0,14.21,752973,401870,53.37,8.950770760815514,43.04687499999999,75.37619699042408,1.0597196158516322,2.23432636727435,Uncertain,Range-bound/Unclear
17-07-2026,NIFTYBEES,INF204KB14I2,NIFTYBEESEQN,08-Jan-2002,2383691385,276.6,2.61,0.95,273.99,276.46,275.79,275.0,273.89,277.0,275.79,251.7,02-Apr-2026 00:00:00,302.25,09-Dec-2025 00:00:00,0.0,0.0,0.0,0.0,276.93,True,0.01,221.17-331.75,20,73.5707,202.9005,65932.9037,659329037091.0,0.02,1.0,0.83,15.86,0,5.09,0.0,6.0,2.0,0.0,8.0,7357065,4958946,67.4,8.486352357320092,9.892729439809312,49.25816023738878,0.9525895105660841,1.1354923509438146,Mid Range,Range-bound/Unclear
17-07-2026,NV20IETF,INF109KC11V0,NV20IETFEQN,22-Jun-2016,131478030,13.95,0.2,1.45,13.75,13.9,13.87,13.72,13.6,13.98,13.87,12.5,12-Feb-2026 00:00:00,16.0,21-Jan-2026 00:00:00,0.0,0.0,0.0,0.0,13.93,True,0.01,11.12-16.68,20,2.8502,0.3953,183.4119,1834118518.5,0.1,1.0,0.77,14.71,0,4.76,0.0,9.0,3.5,0.0,12.5,285016,193919,68.04,12.812500000000004,11.599999999999994,41.42857142857141,1.4545454545454493,2.794117647058829,Mid Range,Range-bound/Unclear
17-07-2026,OILIETF,INF109KC18W3,OILIETFEQN,24-Jul-2024,269118218,11.46,0.12,1.06,11.34,11.44,11.41,11.39,11.31,11.46,11.41,9.8,30-Mar-2026 00:00:00,14.0,02-Mar-2026 00:00:00,0.0,0.0,0.0,0.0,11.47,True,0.01,9.16-13.72,20,28.0561,3.2012,308.4095,3084094778.28,0.08,10.0,1.04,19.87,0,6.41,0.0,9.0,3.5,0.0,12.5,2805614,2123995,75.71,18.142857142857135,16.93877551020408,39.52380952380953,1.058201058201067,1.326259946949605,Uncertain,Range-bound/Unclear
17-07-2026,PHARMABEES,INF204KC1089,PHARMABEESEQN,07-Jul-2021,621582712,26.4,-0.36,-1.35,26.76,26.39,26.4,26.9,26.28,26.9,26.4,21.46,30-Sep-2025 00:00:00,27.25,16-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,26.36,True,0.01,21.12-31.66,20,65.1937,17.2111,1640.9784,16409783596.8,0.04,10.0,0.93,17.77,0,5.73,0.0,9.0,3.5,0.0,12.5,6519374,3821698,58.62,3.119266055045877,23.01957129543335,85.31951640759928,-1.3452914798206388,2.3592085235920752,Near High,Range-bound/Unclear
17-07-2026,PSUBNKBEES,INF204KB16I7,PSUBNKBEESEQN,01-Nov-2007,430775430,93.58,0.34,0.36,93.24,93.58,93.45,92.01,91.2,93.97,93.45,73.82,04-Aug-2025 00:00:00,110.4,26-Feb-2026 00:00:00,0.0,0.0,0.0,0.0,93.71,True,0.01,74.87-112.29,20,10.5981,9.9039,4031.1965,40311964739.4,0.05,1.0,1.6,30.57,0,10.1,0.0,10.1,3.5,0.0,13.6,1059809,604355,57.02,15.235507246376818,26.767813600650243,54.018589393110986,0.3646503646503683,3.0372807017543817,Mid Range,Range-bound/Unclear
17-07-2026,PVTBANIETF,INF109KC18U7,PVTBANIETFEQN,14-Aug-2019,1461969940,28.91,0.73,2.59,28.18,28.81,28.65,28.23,28.18,28.92,28.65,24.18,02-Apr-2026 00:00:00,30.32,19-Feb-2026 00:00:00,0.0,0.0,0.0,0.0,28.83,True,0.01,23.05-34.57,20,40.7923,11.687,4226.5551,42265550965.4,0.06,1.0,1.05,20.06,0,6.52,0.0,9.0,3.5,0.0,12.5,4079235,2676164,65.6,4.650395778364117,19.5616211745244,77.0358306188925,2.5904897090134864,2.625975869410937,Uncertain,Range-bound/Unclear
